X,Y,OBJECTID,NAME,Lat,Long,EastITM,NorthITM,EastIG,NorthIG
-9.127840454107814,53.25055278851255,1,Silverstrand,53.251,-9.128,524694.732,722864.026,124727.719,222834.31
-9.090659649197377,53.256823513553805,2,Salthill,53.257,-9.091,527186.209,723523.15,127219.731,223493.59
-9.064072196892491,53.262769210601277,3,Grattan Beach,53.263,-9.065,528969.809,724157.88,129003.714,224128.467
-9.016996114378664,53.269322949936644,4,Ballyloughane,53.27,-9.018,532120.388,724841.274,132154.971,224812.027
